txid,blockhash,time,value
d40cd06f70cc8ebde39078e7f41b65f850bf5efb45e85c0802e3aae02f9e1bd1,000000000000000000001fb781a7e4f254732ba95c7155160a11e005f2941b95,1757823929,6211.99672674
4062c330ab0e485dc43a082cd1a498e58baa38460b1bea29fcf931fa387fb3ac,00000000000000000000eec519111293713fc768004cb21df7a6de617fb0ea11,1757821882,817.16354729
77fc106980683a2902c8ce0f25160889201e0ac9dc14833c854dd7337a5904b5,00000000000000000000eec519111293713fc768004cb21df7a6de617fb0ea11,1757821882,404.64327235999997
56d6bc0ce8a5f47a34ab56a91995f83af07f193d7bd692bfd2cf6a74b36dc7ed,00000000000000000000a27816c6a707d2b2aee249e066167c3ea05fcea97c9c,1757823263,399.99999491999995
04e3c93443898fdaaf6fe21a9b5c42af7a1542c4ac0550e66597cf00987da187,00000000000000000000eec519111293713fc768004cb21df7a6de617fb0ea11,1757821882,214.58522906
86b7c52e084b3f05ded77910424ee971bd75564241d01ab12e7d08e32ec8ca0f,00000000000000000000a27816c6a707d2b2aee249e066167c3ea05fcea97c9c,1757823263,214.57323485
50868f1d60e9ea14e32b9c9bfda61b11f774ff5db3add3093c7a3190de096cec,00000000000000000000a27816c6a707d2b2aee249e066167c3ea05fcea97c9c,1757823263,197.56888069
c6024868a36b8e526c2cbf3cb7f83408574436f8a6a6c4ee6c8985d74caba62a,00000000000000000000a27816c6a707d2b2aee249e066167c3ea05fcea97c9c,1757823263,197.56840904
9a21a710fc51ec13afbfb7c4b3c803bab3e7808b335299a43749fe77b3157f15,00000000000000000000eec519111293713fc768004cb21df7a6de617fb0ea11,1757821882,180.77910709
9fa92084c3cdb77ab7aec85cec790a2599ab6ca8c99f0bd7b06a483cd66bb8e1,00000000000000000000a27816c6a707d2b2aee249e066167c3ea05fcea97c9c,1757823263,180.60359062999999